,Sidewalk width,Pedestrian density,"Density of street furniture (e.g. garbage, poles)",Sidewalk / Surface roughness,Surface condition,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",Slope gradient (i.e. elevation change),Proximity to charging stations,Local attitudes towards robots,Curb ramp availability,Weather conditions,Crowd dynamics - purpose with which people navigate in the space,Traffic management systems,Surveillance coverage (CCTV),Zoning laws and regulation,Bike lane availability,Street lighting,"Existence of shade (e.g., trees)",GPS signal strength,Pedestrian flow,Bicycle traffic,Vehicle traffic,Existence of detailed digital maps of the area,Intersection safety
Sidewalk width,1.0,0.14285714285714285,0.2,1.3333333333333333,1.3333333333333333,3.0,2.0,5.0,5.0,0.6666666666666666,1.0,1.0,5.0,4.0,6.0,5.0,1.5,5.0,2.0,0.25,5.0,5.0,5.0,0.75
Pedestrian density,7.0,1.0,1.5,4.0,1.0,4.0,5.0,6.0,4.0,4.0,0.6666666666666666,2.0,6.0,7.0,5.0,4.0,6.0,5.0,5.0,1.5,6.0,4.0,6.0,4.0
"Density of street furniture (e.g. garbage, poles)",5.0,0.6666666666666666,1.0,2.5,0.2,0.75,5.0,5.0,1.0,1.0,1.0,0.25,2.5,0.6666666666666666,5.0,5.0,3.0,5.0,3.0,1.0,4.0,2.0,2.0,1.0
Sidewalk / Surface roughness,0.75,0.25,0.4,1.0,0.25,1.5,1.0,0.5,2.5,0.3333333333333333,1.5,0.5,0.5,5.0,6.0,5.0,3.0,6.0,1.5,1.0,1.0,1.3333333333333333,0.16666666666666666,0.6666666666666666
Surface condition,0.75,1.0,5.0,4.0,1.0,2.5,2.0,7.0,1.5,4.0,0.5,0.5,0.6666666666666666,4.0,5.0,5.0,4.0,4.0,2.5,0.16666666666666666,6.0,2.5,1.5,1.0
"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",0.3333333333333333,0.25,1.3333333333333333,0.6666666666666666,0.4,1.0,3.0,6.0,1.5,1.0,1.5,0.25,2.0,5.0,6.0,5.0,5.0,5.0,0.2,0.6666666666666666,3.0,1.5,2.0,1.5
Slope gradient (i.e. elevation change),0.5,0.2,0.2,1.0,0.5,0.3333333333333333,1.0,4.0,0.25,1.0,0.4,1.0,1.5,5.0,0.5,7.0,1.3333333333333333,6.0,1.0,0.25,4.0,0.2,0.16666666666666666,1.0
Proximity to charging stations,0.2,0.16666666666666666,0.2,2.0,0.14285714285714285,0.16666666666666666,0.25,1.0,0.16666666666666666,0.5,0.4,0.25,1.0,4.0,0.16666666666666666,1.3333333333333333,0.6666666666666666,2.0,0.4,0.25,0.25,0.5,0.6666666666666666,0.25
Local attitudes towards robots,0.2,0.25,1.0,0.4,0.6666666666666666,0.6666666666666666,4.0,6.0,1.0,1.5,1.0,0.16666666666666666,0.6666666666666666,1.5,1.0,5.0,0.5,5.0,0.5,0.75,1.5,2.5,0.6666666666666666,0.25
Curb ramp availability,1.5,0.25,1.0,3.0,0.25,1.0,1.0,2.0,0.6666666666666666,1.0,2.0,1.0,4.0,5.0,0.75,6.0,1.3333333333333333,6.0,3.0,0.5,1.0,0.6666666666666666,6.0,0.25
Weather conditions,1.0,1.5,1.0,0.6666666666666666,2.0,0.6666666666666666,2.5,2.5,1.0,0.5,1.0,0.2,1.3333333333333333,1.5,2.0,4.0,1.0,6.0,2.0,0.5,5.0,2.5,5.0,1.3333333333333333
Crowd dynamics - purpose with which people navigate in the space,1.0,0.5,4.0,2.0,2.0,4.0,1.0,4.0,6.0,1.0,5.0,1.0,1.5,5.0,1.0,7.0,5.0,6.0,5.0,1.0,6.0,7.0,4.0,0.75
Traffic management systems,0.2,0.16666666666666666,0.4,2.0,1.5,0.5,0.6666666666666666,1.0,1.5,0.25,0.75,0.6666666666666666,1.0,5.0,0.5,5.0,5.0,2.0,1.0,0.2,2.0,0.4,1.5,0.5
Surveillance coverage (CCTV),0.25,0.14285714285714285,1.5,0.2,0.25,0.2,0.2,0.25,0.6666666666666666,0.2,0.6666666666666666,0.2,0.2,1.0,0.2,0.5,0.2,0.5,0.16666666666666666,0.16666666666666666,1.0,0.6666666666666666,0.2,0.16666666666666666
Zoning laws and regulation,0.16666666666666666,0.2,0.2,0.16666666666666666,0.2,0.16666666666666666,2.0,6.0,1.0,1.3333333333333333,0.5,1.0,2.0,5.0,1.0,1.0,0.6666666666666666,7.0,0.5,0.75,1.0,0.5,0.5,0.3333333333333333
Bike lane availability,0.2,0.25,0.2,0.2,0.2,0.2,0.14285714285714285,0.75,0.2,0.16666666666666666,0.25,0.14285714285714285,0.2,2.0,1.0,1.0,3.0,2.0,1.0,0.2,0.4,0.4,0.16666666666666666,0.2
