StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Instruction,Q5,Q5_5_TEXT,Q9,Q8,1,2,3,303 ,304,305,306,307,309,310,312,313,314,315,317,318,320,321,322,323,331,333,334,335,336,338,339 ,340,341,346,347,348,349,350,351,4,5,6,7,8,9,11,12,13,14,15,16,17,18,20,21,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,45,46,48,49,50,51,52,53,54,55,56,57,58,60,61,62,63,64,65,66,67,69,70,72,73,74,75,76,77,78,79,80,81,83,84,85,86,87,88,89,90,92,93,95,96,97,98,99,100,101,102,103,105,106,107,108,109,110,111,112,114,115,117,118,119,120,121,122,123,124,126,127,128,129,130,131,132,133,135,136,138,139,140,141,142,143,144,146,147,148,149,150,151,152,153,155,156,158,159,160,161,162,163,165,166,167,168,169,170,171,172,174,175,177,178,179,180,181,183,184,185,186,187,188,189,190,192,193,195,196,197,198,200,201,202,203 ,204,205,206,207,209,210 ,212,213,214,215,232,233,234,235,236,237,238,240,241,243,244,245,246,247,248,249,250,251,252,254,255,257,258,259,260,261,262,263,264,265,267,268,270 ,271,272,273,274,275,276,277,279,280,282,283,284,285,286,287,288,290,291,293,294,295,296,297,298,300,301,Q732,Q733
2024-07-25 10:03:41,2024-07-25 10:38:15,IP Address,*******,100,2074,True,2024-07-25 10:38:16,R_3jxNAsvQdlNmDOF,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"I have read the above information, and have received answers to any questions I asked.,I consent to take part in the study.",academia,,5,Assistant Professor,Pedestrian density ,,,,Vehicle traffic,,,,GPS signal strength,,,,,,,,Bicycle traffic,,,Intersection safety,Pedestrian flow,GPS signal strength,,,,,,,,,,,,,,,,,,,,Weather conditions,,,,,,,,,,,,,,,,,,,,,Pedestrian density ,,,,,,,Pedestrian density ,,,,,,,,,,,,,"Density of street furniture (e.g. garbage, poles)  ",,Weather conditions,,,,,,,,,,,,,"Density of street furniture (e.g. garbage, poles)  ",,,,,,,,,,,,Sidewalk / Surface roughness,,Sidewalk / Surface roughness,,Sidewalk / Surface roughness,,,,,,,,Surface condition,Surface condition,,,Surface condition,,Surface condition,Surface condition,,,GPS signal strength,,,,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,Curb ramp availability,,,,,,,,,,,,,,,,,Slope gradient (i.e. elevation change),,,,Slope gradient (i.e. elevation change),,,,,,,,,,,,,Weather conditions,,,,,Proximity to charging stations,,,,,,,,,,,,,,,Local attitudes towards robots,,,GPS signal strength,,,,,Intersection safety,,Curb ramp availability,,,,,,,,,,,,,,,,Weather conditions,,,,,Weather conditions,,Weather conditions,,,,,,,,,,,,,,,,,,,,,,,,,Intersection safety,,,Street lighting,Surveillance coverage (CCTV),,,,,,Intersection safety,,Street lighting,,,,,,,,,,,,,
2024-07-28 06:54:09,2024-07-28 06:59:03,IP Address,*******,100,294,True,2024-07-28 06:59:04,R_4Ja6N2fI0iqKajL,*******,*******,*******,*******,*******,*******,anonymous,EN,0.699999988079071,"I have read the above information, and have received answers to any questions I asked.,I consent to take part in the study.",academia,,3,PhD,,,Sidewalk / Surface roughness,,,,,Street lighting,,,Street lighting,,,Intersection safety,,Pedestrian flow,,,,,,,Vehicle traffic,Existence of detailed digital maps of the area,,,,,,Bicycle traffic,,,Vehicle traffic,,,,,,,Sidewalk width,,,,Sidewalk width,,Zoning laws and regulation,,,,,,Bicycle traffic,,Sidewalk width,,,,,,,Pedestrian density ,Pedestrian density ,,,,,,,,,,Pedestrian density ,,,,,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)","Density of street furniture (e.g. garbage, poles)  ",,,,,,,,"Density of street furniture (e.g. garbage, poles)  ","Density of street furniture (e.g. garbage, poles)  ",,,,,,Vehicle traffic,Existence of detailed digital maps of the area,,,,,,,,,,,,,,,,,,,Vehicle traffic,,,Surface condition,,,,,,Crowd dynamics - purpose with which people navigate in the space,,,,,,,,,Surface condition,,,,,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,,,,,,,Bicycle traffic,,,,,,,Weather conditions,,,,,,,,,,Slope gradient (i.e. elevation change),Vehicle traffic,Existence of detailed digital maps of the area,,,,,,Traffic management systems,,,,,,,,Bicycle traffic,,,,Local attitudes towards robots,Local attitudes towards robots,,,,,,,,,,,Local attitudes towards robots,,,Weather conditions,,,,,,Street lighting,Curb ramp availability,,,,,,Intersection safety,Crowd dynamics - purpose with which people navigate in the space,,,,,,,GPS signal strength,,,,,,,,,,,,,Crowd dynamics - purpose with which people navigate in the space,,,,,,Zoning laws and regulation,,,"Existence of shade (e.g., trees)",,,,Vehicle traffic,,,,,,,,,,Surveillance coverage (CCTV),,,,,,,,Zoning laws and regulation,,,,,,,,,
2024-07-30 03:46:54,2024-07-30 03:53:25,IP Address,*******,100,391,True,2024-07-30 03:53:26,R_2zWUCraVXw2SG0V,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"I have read the above information, and have received answers to any questions I asked.,I consent to take part in the study.",academia,,10,Full Professor Psychology of HCI,,,Sidewalk width,Bicycle traffic,Vehicle traffic,,,,GPS signal strength,,,,,,,,,Vehicle traffic,,Intersection safety,,,,Existence of detailed digital maps of the area,Intersection safety,,,,,Bicycle traffic,,Intersection safety,,,,,,,,,Sidewalk width,,,,,Sidewalk width,,,,,,,,,,,,Pedestrian density ,Pedestrian density ,,,,Pedestrian density ,,,,,,,,,,,,,,Pedestrian density ,,,,"Density of street furniture (e.g. garbage, poles)  ",,,,,,,,,"Density of street furniture (e.g. garbage, poles)  ",,,,,,"Density of street furniture (e.g. garbage, poles)  ",,,,,,Proximity to charging stations,,,,,,,Sidewalk / Surface roughness,Sidewalk / Surface roughness,Sidewalk / Surface roughness,,,,,,,,,,,,,,,,,,,,,,,Surface condition,Vehicle traffic,,,,,,,Weather conditions,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,Pedestrian flow,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,Existence of detailed digital maps of the area,Intersection safety,,,,,,,,,,,,,,Slope gradient (i.e. elevation change),,,,Proximity to charging stations,Curb ramp availability,,,,,,,,,,,,,,,,,,Traffic management systems,,,,,,,,,,,,,,,,Curb ramp availability,Curb ramp availability,,Curb ramp availability,,,,Vehicle traffic,,,,,,,,,,,,,,,Weather conditions,,,,,,Crowd dynamics - purpose with which people navigate in the space,,,,,,,,,,,,,,,,,,,,,Surveillance coverage (CCTV),GPS signal strength,,,Vehicle traffic,,,,Zoning laws and regulation,,GPS signal strength,,Bicycle traffic,Vehicle traffic,,,,,,,,
2024-07-30 04:36:44,2024-07-30 04:45:10,IP Address,*******,100,506,True,2024-07-30 04:45:11,R_2gkcrtDPFuEFT6H,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"I have read the above information, and have received answers to any questions I asked.,I consent to take part in the study.",academia,,23,Professor in Language and Technology Interaction,Pedestrian density ,,,,,Existence of detailed digital maps of the area,Intersection safety,,,Pedestrian flow,,,,,,,,,,,Pedestrian flow,,Vehicle traffic,,,Pedestrian flow,Pedestrian flow,,,,Bicycle traffic,,,,,,,,,,,,,,,,Sidewalk width,Sidewalk width,,,,,,Sidewalk width,,,,,,,,Pedestrian density ,,,,,,,,,,,,,Pedestrian density ,,,,Surface condition,,,,,,,,,,,,,"Density of street furniture (e.g. garbage, poles)  ",,,,,,,,,,,,Curb ramp availability,,Crowd dynamics - purpose with which people navigate in the space,,Sidewalk / Surface roughness,,,,,Sidewalk / Surface roughness,,Bicycle traffic,,,Sidewalk / Surface roughness,,,,,,Weather conditions,,,,,,,,,,,,,,,,Local attitudes towards robots,,,Crowd dynamics - purpose with which people navigate in the space,,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,,,,,,,,Weather conditions,,,,,,Slope gradient (i.e. elevation change),Slope gradient (i.e. elevation change),,Pedestrian flow,,,Slope gradient (i.e. elevation change),,,,Weather conditions,Crowd dynamics - purpose with which people navigate in the space,,,Zoning laws and regulation,,,"Existence of shade (e.g., trees)",,,Bicycle traffic,Vehicle traffic,,,,Local attitudes towards robots,,,Local attitudes towards robots,,Local attitudes towards robots,,,Local attitudes towards robots,,,,,,,,Curb ramp availability,Curb ramp availability,,,,,,,Bicycle traffic,,,,,Weather conditions,,,,,,,,,Vehicle traffic,,,Crowd dynamics - purpose with which people navigate in the space,Crowd dynamics - purpose with which people navigate in the space,,,,,,,,,Crowd dynamics - purpose with which people navigate in the space,,,,,,,Traffic management systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm afraid people's responses will crucially depend on whether they work on the human social spaces or on the technology side of navigation... ,
2024-07-30 04:49:33,2024-07-30 04:56:28,IP Address,*******,100,415,True,2024-07-30 04:56:29,R_4CBAKThB9MThSiW,*******,*******,*******,*******,*******,*******,anonymous,EN,0.699999988079071,"I have read the above information, and have received answers to any questions I asked.,I consent to take part in the study.",academia,,3,Researcher in Robotics,,"Density of street furniture (e.g. garbage, poles) ",,,,,,,,,,,Existence of detailed digital maps of the area,,"Existence of shade (e.g., trees)",,Bicycle traffic,,Existence of detailed digital maps of the area,,,,,,,,,Pedestrian flow,,,,,,,,,Sidewalk width,,Sidewalk width,,,Sidewalk width,,,,,,,,Sidewalk width,,Sidewalk width,,,,,Pedestrian density ,,,Pedestrian density ,Pedestrian density ,,,,,,,,,Pedestrian density ,,,,,,,,,,,,,,,,,,,,,,,,,,,"Density of street furniture (e.g. garbage, poles)  ",,,,Sidewalk / Surface roughness,,Sidewalk / Surface roughness,,,,Sidewalk / Surface roughness,,,,,Sidewalk / Surface roughness,,Pedestrian flow,,,,,Surface condition,Slope gradient (i.e. elevation change),Surface condition,,,,,,,,,,Surface condition,Surface condition,,,,Surface condition,,,,,,,,,,,,,,,,,,,,,,,,Slope gradient (i.e. elevation change),Slope gradient (i.e. elevation change),,,,,,Slope gradient (i.e. elevation change),,,,,,,,,,,Proximity to charging stations,,,,,,,,,Existence of detailed digital maps of the area,,,,,,,Zoning laws and regulation,,,"Existence of shade (e.g., trees)",,,,Vehicle traffic,Existence of detailed digital maps of the area,,,,,,,,,,,Curb ramp availability,,,Curb ramp availability,,Crowd dynamics - purpose with which people navigate in the space,,,,,,,,,,,Existence of detailed digital maps of the area,,,,,,Crowd dynamics - purpose with which people navigate in the space,,,Pedestrian flow,,,,,,Zoning laws and regulation,,,,,Pedestrian flow,Traffic management systems,,Traffic management systems,,,,,,,,Bicycle traffic,,,,,,,,,,,Existence of detailed digital maps of the area,,Bike lane availability,,,Pedestrian flow,,
2024-07-30 05:27:42,2024-07-30 05:42:29,IP Address,*******,100,887,True,2024-07-30 05:42:30,R_6Av6S6XmtOxMaVb,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"I have read the above information, and have received answers to any questions I asked.,I consent to take part in the study.",academia,,28,Full Professor in Control and Automation,,,,,,,,,,Pedestrian flow,Street lighting,,,,,,,,"Existence of shade (e.g., trees)",,,,,,,,,,Intersection safety,,,,Existence of detailed digital maps of the area,,,Surface condition,,,,,,,,Traffic management systems,Surveillance coverage (CCTV),,,,,,,,,,,,,,,,,,,Weather conditions,,,,Pedestrian density ,Bike lane availability,,,,,Pedestrian density ,Pedestrian density ,,,,,,"Density of street furniture (e.g. garbage, poles)  ",,Local attitudes towards robots,,"Density of street furniture (e.g. garbage, poles)  ",,Traffic management systems,Surveillance coverage (CCTV),,,,,,,Bicycle traffic,"Density of street furniture (e.g. garbage, poles)  ",,,Surface condition,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,,,,,,,,,"Existence of shade (e.g., trees)",,,,Vehicle traffic,Existence of detailed digital maps of the area,,,,,,,,,,,Surface condition,Surface condition,Street lighting,,,,,,Existence of detailed digital maps of the area,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,,,,,,,,,,,,,Intersection safety,,,Slope gradient (i.e. elevation change),,,,,,,,,,,Slope gradient (i.e. elevation change),,,,,,,,,,,,,,,,,,Existence of detailed digital maps of the area,,Local attitudes towards robots,Weather conditions,,,,,,,,,,,,,,,Crowd dynamics - purpose with which people navigate in the space,,,,,Curb ramp availability,,,,Bicycle traffic,,,,,,Surveillance coverage (CCTV),Zoning laws and regulation,,,,Weather conditions,Pedestrian flow,,,,,,,,,,,,,,Crowd dynamics - purpose with which people navigate in the space,,Intersection safety,,,,Traffic management systems,,,,,,,,,,Surveillance coverage (CCTV),,,,,Surveillance coverage (CCTV),,,Zoning laws and regulation,,,,Pedestrian flow,,,,,,,,,"Em alguns casos, não havia equilíbrio entre as opções.",yes
2024-07-30 06:33:31,2024-07-30 06:39:21,IP Address,*******,100,349,True,2024-07-30 06:39:22,R_2IbouqkOwAy5SD2,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"I have read the above information, and have received answers to any questions I asked.,I consent to take part in the study.",academia,,15,Professor of Human-Robot Interaction,,Sidewalk width,Sidewalk / Surface roughness,,Vehicle traffic,,,Street lighting,Street lighting,,,,,,,,,,,,,,Vehicle traffic,,,,Vehicle traffic,,,,,Intersection safety,,,,,,,,Sidewalk width,,Weather conditions,,,,,,,,GPS signal strength,,Sidewalk width,,,Intersection safety,,,,,,,,,Weather conditions,,,,,,,Pedestrian density ,,,,,Pedestrian density ,,,,,,,,,,,"Density of street furniture (e.g. garbage, poles)  ",,Zoning laws and regulation,,,"Density of street furniture (e.g. garbage, poles)  ",,,,,,,,,,,,,Weather conditions,,,,,,,,,,,,,,,,,,,,,Surface condition,,,,,,,,,,,,,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,,,,,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,Local attitudes towards robots,,,,,,Zoning laws and regulation,,Street lighting,Slope gradient (i.e. elevation change),,,,,,,,,Weather conditions,,,,,,Street lighting,,,,,,,Intersection safety,,,,,,Zoning laws and regulation,,Street lighting,,,Pedestrian flow,,,,,,,,Surveillance coverage (CCTV),Zoning laws and regulation,,Street lighting,,,,,Vehicle traffic,,,,,,Zoning laws and regulation,,Weather conditions,,,,,,,,,,,,Street lighting,,,,Crowd dynamics - purpose with which people navigate in the space,,,,Traffic management systems,,,,,Traffic management systems,,,,,Intersection safety,,Surveillance coverage (CCTV),Street lighting,,,,,,,,,Zoning laws and regulation,Zoning laws and regulation,,Zoning laws and regulation,,Zoning laws and regulation,,,,,,,,
2024-07-30 09:11:31,2024-07-30 09:18:47,IP Address,*******,100,436,True,2024-07-30 09:18:48,R_7S796vwQMvVbuL6,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"I have read the above information, and have received answers to any questions I asked.,I consent to take part in the study.",academia,,12,Assistant Professor in Human-Computer Interaction,,,,,,,,,,,Bicycle traffic,,,Intersection safety,,Pedestrian flow,,,,Intersection safety,,,,,,,,Pedestrian flow,,,,,,Vehicle traffic,,,,,Sidewalk width,,,,,,,,,,,,Pedestrian flow,,,,,,,,,,,,,,,Pedestrian density ,,,,Pedestrian density ,,,,,,,Pedestrian density ,,,,,,,,,Crowd dynamics - purpose with which people navigate in the space,,,,,"Density of street furniture (e.g. garbage, poles)  ",,,,"Density of street furniture (e.g. garbage, poles)  ",,,,,,,,,,,,,,,,,,,,,Sidewalk / Surface roughness,,Sidewalk / Surface roughness,,,,,Curb ramp availability,,Crowd dynamics - purpose with which people navigate in the space,,,Surface condition,,,,Surface condition,,Surface condition,Surface condition,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,Curb ramp availability,Weather conditions,Crowd dynamics - purpose with which people navigate in the space,,,,,,,,,,Vehicle traffic,,,Local attitudes towards robots,,,,,,Zoning laws and regulation,Proximity to charging stations,,,,,,,,,,,Crowd dynamics - purpose with which people navigate in the space,,,,,,,,,,,Local attitudes towards robots,,,,,,,Curb ramp availability,,Curb ramp availability,,Pedestrian flow,,,,,,,Weather conditions,,,,,,,Weather conditions,,Weather conditions,,,Crowd dynamics - purpose with which people navigate in the space,,Crowd dynamics - purpose with which people navigate in the space,,Crowd dynamics - purpose with which people navigate in the space,,,,,Crowd dynamics - purpose with which people navigate in the space,Crowd dynamics - purpose with which people navigate in the space,,,,,,,Pedestrian flow,,,,,Zoning laws and regulation,,,,GPS signal strength,,,,,,,,,,,Zoning laws and regulation,,,,,,,,I think that people dynamics are very important. ,
2024-07-30 06:41:11,2024-07-30 10:16:53,IP Address,*******,100,12941,True,2024-07-30 10:16:53,R_8elXbZjmqwjod4Q,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"I have read the above information, and have received answers to any questions I asked.,I consent to take part in the study.",academia,,3,PhD Student in Robotics,,,,Bike lane availability,,,,,,,,,,,,,Bicycle traffic,Vehicle traffic,,,Pedestrian flow,,,,,,,,Pedestrian flow,,,,,,,,,Slope gradient (i.e. elevation change),,,,,,,,,Sidewalk width,Sidewalk width,,,,,,,,Pedestrian density ,,,,,,,,,,,Pedestrian density ,,,,,Pedestrian density ,,Pedestrian density ,,,,"Density of street furniture (e.g. garbage, poles)  ","Density of street furniture (e.g. garbage, poles)  ",,,,,Curb ramp availability,,,,,,,,,,,,,"Density of street furniture (e.g. garbage, poles)  ",,Surface condition,,Slope gradient (i.e. elevation change),Sidewalk / Surface roughness,Local attitudes towards robots,,,Crowd dynamics - purpose with which people navigate in the space,Traffic management systems,,,Sidewalk / Surface roughness,Street lighting,,,,,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",Slope gradient (i.e. elevation change),,,,,,,,,,,,,Pedestrian flow,,,,,,,,Curb ramp availability,,,,,,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,,,,,,,,,,,,,,Slope gradient (i.e. elevation change),,,,,,,,,,,,,,,,,,,,Pedestrian flow,,Proximity to charging stations,,,,,,,Local attitudes towards robots,,,,Local attitudes towards robots,,,,,,Local attitudes towards robots,,,,,,,,,,,,,,,,Weather conditions,,,Weather conditions,,Weather conditions,,,,Weather conditions,,Weather conditions,Crowd dynamics - purpose with which people navigate in the space,,Crowd dynamics - purpose with which people navigate in the space,,,,,,,Crowd dynamics - purpose with which people navigate in the space,,,,,,,,,,Traffic management systems,Traffic management systems,,,,,,,,,,,,Intersection safety,,,,,,,,Existence of detailed digital maps of the area,Intersection safety,Bike lane availability,,Bike lane availability,,"Without knowing what type of wheels the robot has, it is not easy to judge whether some of the variables will be obstacles to for it.",amar.halilovic@uni-ulm.de
2024-07-30 11:24:23,2024-07-30 11:29:08,IP Address,*******,100,284,True,2024-07-30 11:29:09,R_1OTjf6mzpbWfxci,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"I have read the above information, and have received answers to any questions I asked.,I consent to take part in the study.",academia,,15,Assistant Professor of Computer Science,Pedestrian density ,,,,,Existence of detailed digital maps of the area,,,,,,,Existence of detailed digital maps of the area,,,,,,,,,,,,Intersection safety,Pedestrian flow,,,,Vehicle traffic,,,,,,,,,,,,,,,Sidewalk width,Sidewalk width,,,,,,,Sidewalk width,,,,,,Pedestrian density ,Slope gradient (i.e. elevation change),Pedestrian density ,,,,,,,,Pedestrian density ,,,,Pedestrian density ,,,,,,,"Density of street furniture (e.g. garbage, poles)  ",,"Density of street furniture (e.g. garbage, poles)  ",,,,,,,,,,,,Pedestrian flow,,,,"Density of street furniture (e.g. garbage, poles)  ",,,,,,,,,,,Sidewalk / Surface roughness,,,,,Sidewalk / Surface roughness,,,,,,,Surface condition,,,Weather conditions,,,,,,,,,,,,,,Slope gradient (i.e. elevation change),,Local attitudes towards robots,,,,Traffic management systems,"Wireless communication infrastructure (e.g. 5G, IoT, Wi-Fi)",,,,,GPS signal strength,,,,,,Slope gradient (i.e. elevation change),,,,,Slope gradient (i.e. elevation change),Slope gradient (i.e. elevation change),,,,,,,,,,Slope gradient (i.e. elevation change),,Curb ramp availability,,,Proximity to charging stations,Proximity to charging stations,,,,Proximity to charging stations,Proximity to charging stations,,,,,,,,,Traffic management systems,,,,,,GPS signal strength,,Local attitudes towards robots,Vehicle traffic,,,,,,,,,,,,,,,Curb ramp availability,,,,,,,,,,,,,,,,,,,,,Crowd dynamics - purpose with which people navigate in the space,,,,,,,,Traffic management systems,,,,,,,Existence of detailed digital maps of the area,,,,,,,Pedestrian flow,,,Existence of detailed digital maps of the area,,Zoning laws and regulation,,,GPS signal strength,,,,,,,"Existence of shade (e.g., trees)",,Pedestrian flow,You should be surveying wheelchair users about this.,
